,ID_REF,P0 vs P12 pvalue,P0 vs P12 log2fc,Ensembl_ID,Gene_Name
38700,221297_at,0.009209051138161433,4.2348,ENSG00000111291,GPRC5D
41270,223289_s_at,0.0012608935498324204,1.0635624999999997,ENSG00000170185,USP38
42495,224262_at,0.0025022166833516576,1.5418500000000002,ENSG00000136697,IL1F10
42501,224269_at,0.03057525825336027,4.251337499999999,ENSG00000292039,KRTAP4-12
42502,224269_at,0.03057525825336027,4.251337499999999,ENSG00000263236,KRTAP4-12
42503,224269_at,0.03057525825336027,4.251337499999999,ENSG00000213416,KRTAP4-12
47850,228705_at,0.0004806413767329483,1.8758124999999994,ENSG00000292260,
47851,228705_at,0.0004806413767329483,1.8758124999999994,ENSG00000182472,CAPN12
48165,228975_at,0.004623447737250362,1.1580750000000002,ENSG00000189120,SP6
48320,229097_at,0.0014441095490358028,1.1165999999999991,ENSG00000139734,DIAPH3
49044,229730_at,0.008844610768974916,1.3608000000000002,ENSG00000188176,SMTNL2
50222,230720_at,0.0010066219608136661,2.0047249999999988,ENSG00000180537,RNF182
50959,231382_at,0.01737581192860512,1.3907124999999994,ENSG00000156427,FGF18
51447,231778_at,0.0013827537582188564,1.0172999999999988,ENSG00000064195,DLX3
52495,232682_at,0.0012672095182892117,1.0415624999999995,ENSG00000118242,MREG
53037,233158_at,0.0071711077441853665,3.2836,ENSG00000161850,KRT82
53398,233486_at,0.004110466317319117,1.7424750000000007,ENSG00000222001,
53453,233533_at,0.019576606054319854,4.3721125,ENSG00000261862,KRTAP1-5
53454,233533_at,0.019576606054319854,4.3721125,ENSG00000221852,KRTAP1-5
53455,233534_at,0.03229255959485771,3.9515625000000005,ENSG00000263296,KRTAP3-2
53456,233534_at,0.03229255959485771,3.9515625000000005,ENSG00000212900,KRTAP3-2
53459,233537_at,0.019939874639442703,4.192087499999999,ENSG00000262068,KRTAP3-1
53460,233537_at,0.019939874639442703,4.192087499999999,ENSG00000212901,KRTAP3-1
53578,233640_x_at,0.047967344491994364,3.5590374999999996,ENSG00000292049,KRTAP9-4
53579,233640_x_at,0.047967344491994364,3.5590374999999996,ENSG00000262896,KRTAP9-4
53580,233640_x_at,0.047967344491994364,3.5590374999999996,ENSG00000262512,KRTAP9-4
53581,233640_x_at,0.047967344491994364,3.5590374999999996,ENSG00000241595,KRTAP9-4
53625,233681_at,0.034914783578389716,4.022599999999999,ENSG00000263101,KRTAP3-3
53626,233681_at,0.034914783578389716,4.022599999999999,ENSG00000212899,KRTAP3-3
54707,234631_at,0.028831382181529544,3.6063375000000004,ENSG00000292042,KRTAP4-8
54708,234631_at,0.028831382181529544,3.6063375000000004,ENSG00000261968,KRTAP4-8
54709,234631_at,0.028831382181529544,3.6063375000000004,ENSG00000204880,KRTAP4-8
54711,234633_at,0.01868046363899527,3.78965,ENSG00000292038,KRTAP4-11
54712,234633_at,0.01868046363899527,3.78965,ENSG00000263229,KRTAP4-11
54713,234633_at,0.01868046363899527,3.78965,ENSG00000212721,KRTAP4-11
54715,234635_at,0.023771011906320673,4.2042125,ENSG00000198443,KRTAP4-1
54717,234637_at,0.016066116669808846,4.3497375,ENSG00000292040,KRTAP4-5
54718,234637_at,0.016066116669808846,4.3497375,ENSG00000198271,KRTAP4-5
54720,234639_x_at,0.0481707266509191,3.417324999999998,ENSG00000292048,KRTAP9-8
54760,234671_at,0.0273498205031961,4.40815,ENSG00000292044,KRTAP4-2
54761,234671_at,0.0273498205031961,4.40815,ENSG00000244537,KRTAP4-2
54768,234678_at,0.029510962009659095,3.68835,ENSG00000196156,KRTAP4-3
54769,234679_at,0.02873347950777719,3.8203249999999986,ENSG00000292047,KRTAP9-3
54770,234679_at,0.02873347950777719,3.8203249999999986,ENSG00000262749,KRTAP9-3
54771,234679_at,0.02873347950777719,3.8203249999999986,ENSG00000204873,KRTAP9-3
54772,234680_at,0.009474008386903826,3.8645750000000003,ENSG00000263341,KRTAP17-1
54773,234680_at,0.009474008386903826,3.8645750000000003,ENSG00000292024,KRTAP17-1
54774,234680_at,0.009474008386903826,3.8645750000000003,ENSG00000186860,KRTAP17-1
54777,234683_at,0.027702580153025295,4.2356750000000005,ENSG00000292051,KRTAP4-6
54778,234683_at,0.027702580153025295,4.2356750000000005,ENSG00000198090,KRTAP4-6
54779,234684_s_at,0.024806624208496303,4.390225,ENSG00000292041,KRTAP4-4
54780,234684_s_at,0.024806624208496303,4.390225,ENSG00000171396,KRTAP4-4
54781,234685_x_at,0.031642009749886894,3.2514125000000007,ENSG00000292052,KRTAP4-9
54782,234685_x_at,0.031642009749886894,3.2514125000000007,ENSG00000262121,KRTAP4-9
54783,234685_x_at,0.031642009749886894,3.2514125000000007,ENSG00000212722,KRTAP4-9
54789,234691_at,0.03150747276807696,4.211500000000001,ENSG00000261852,KRTAP2-1
54790,234691_at,0.03150747276807696,4.211500000000001,ENSG00000212725,KRTAP2-1
54895,234772_s_at,0.031713357665620286,3.962112499999999,ENSG00000292054,KRTAP2-2
54896,234772_s_at,0.031713357665620286,3.962112499999999,ENSG00000262731,
54897,234772_s_at,0.031713357665620286,3.962112499999999,ENSG00000214518,KRTAP2-2
55031,234880_x_at,0.010102070497053982,4.385325000000001,ENSG00000262347,KRTAP1-3
55032,234880_x_at,0.010102070497053982,4.385325000000001,ENSG00000221880,KRTAP1-3
57485,237070_at,0.01659924784809932,1.1483624999999993,ENSG00000134160,TRPM1
57958,237507_at,0.00835189741067008,2.2735874999999997,ENSG00000186049,KRT73
58335,237853_x_at,0.0010680063150305106,3.114637499999999,ENSG00000215454,KRTAP10-4
58336,237853_x_at,0.0010680063150305106,3.114637499999999,ENSG00000189169,KRTAP10-12
61754,240967_at,0.006668350282773394,4.0902625,ENSG00000244025,KRTAP19-3
62844,241985_at,0.009042164687241555,1.0837374999999998,ENSG00000152409,JMY
63001,242138_at,0.0029196369297936065,1.1300749999999997,ENSG00000292098,DLX1
63002,242138_at,0.0029196369297936065,1.1300749999999997,ENSG00000144355,DLX1
63090,242218_at,0.002162483362854684,1.1103249999999996,,
